Index,ID,x,y,Region,Source,Species,Presence
256,CBNA_414099,5.75066,45.7075,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
257,CBNA_414103,5.60594,46.1335,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
258,CBNA_414106,5.37192,46.0517,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
259,CBNA_414107,5.36776,46.0524,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
260,CBNA_414108,5.33876,46.0421,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
261,CBNA_414129,5.52343,45.7338,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
262,CBNA_414136,5.61273,45.668,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
263,CBNA_414164,5.40727,45.8649,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
264,CBNA_414166,5.42971,45.8541,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
265,CBNA_414169,5.40692,45.8666,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
266,CBNA_414176,5.33314,45.9498,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
267,CBNA_414193,5.38142,45.8812,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
268,CBNA_414201,5.48546,46.2408,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
269,CBNA_414206,5.73727,45.8621,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
270,CBNA_414216,5.94685,46.2461,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
271,CBNA_414221,5.94487,46.2468,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
272,CBNA_414265,5.72793,45.7103,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
273,CBNA_414272,5.65954,45.8432,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
274,CBNA_414274,5.68367,45.8684,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
275,CBNA_414275,5.67857,45.8795,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
276,CBNA_414276,5.65977,45.8432,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
277,CBNA_414282,5.76187,45.9046,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
278,CBNA_414483,4.95453,45.1294,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
279,CBNA_414523,4.82403,44.4566,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
